City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
Casper,US,1603034376,42.87,-106.31,27.0,92,90,9.17
Middletown,US,1603034159,39.52,-84.4,50.0,76,90,11.41
Point Fortin,TT,1603034382,10.18,-61.68,90.0,63,42,4.0
Yulara,AU,1603034385,-25.24,130.99,68.0,94,90,18.34
Atherton,GB,1603034389,53.52,-2.49,54.0,70,39,3.0
Katangli,RU,1603034392,51.71,143.23,32.36,86,0,24.02
Itaueira,BR,1603034395,-7.6,-43.03,97.59,22,60,8.5
Zaraza,VE,1603034398,9.35,-65.32,84.88,76,74,4.36
Atyrau,KZ,1603034401,47.12,51.88,59.0,33,0,11.18
Vallenar,CL,1603034404,-28.57,-70.76,79.25,29,0,7.78
Huarmey,PE,1603034407,-10.07,-78.15,67.24,70,86,7.92
Mayskiy,RU,1603034410,47.69,40.1,66.2,63,41,8.95
Torbay,CA,1603034236,47.67,-52.73,57.2,82,75,14.99
Kangaatsiaq,GL,1603034416,68.31,-53.46,38.39,77,100,21.83
Katherine,AU,1603034419,-14.47,132.27,86.0,48,40,10.29
Mahon,ES,1603034422,39.89,4.27,68.0,52,20,6.93
Indramayu,ID,1603034426,-6.33,108.32,82.69,74,96,12.48
Ust'-Ilimsk,RU,1603034429,58.0,102.66,42.33,84,100,9.28
Shelburne,CA,1603034432,44.08,-80.2,51.01,71,90,11.41
Bereda,ES,1603034435,43.27,-7.54,73.0,47,66,4.0
Forio,IT,1603034438,40.73,13.86,66.0,76,0,1.01
Jiazi,CN,1603034441,22.88,116.07,73.99,78,58,20.38
Merauke,ID,1603034444,-8.47,140.33,79.09,80,100,11.3
Rincon,US,1603034447,32.3,-81.24,71.6,64,20,11.41
Kabare,CD,1603034450,-2.47,28.82,69.12,80,77,1.79
Ndioum,SN,1603034453,16.51,-14.65,105.8,23,0,2.24
Kohima,IN,1603034429,25.67,94.12,62.28,99,7,2.28
Amambai,BR,1603034459,-23.1,-55.23,83.25,48,95,9.24
Luena,AO,1603034462,-11.78,19.92,89.6,33,40,8.05
Anadyr,RU,1603034466,64.75,177.48,19.4,85,18,4.47
Port Blair,IN,1603034469,11.67,92.75,81.21,82,100,13.98
Acapulco de Juárez,MX,1603034472,16.86,-99.89,84.2,79,40,2.04
Port Hedland,AU,1603034475,-20.32,118.57,73.4,73,0,13.87
Colares,PT,1603034478,38.8,-9.45,69.8,46,0,6.93
Troitsko-Pechorsk,RU,1603034481,62.71,56.2,29.86,96,100,5.5
Lakinsk,RU,1603034485,56.02,39.95,43.93,86,100,16.82
Bilma,NE,1603034488,18.69,12.92,101.28,8,0,7.56
Wum,CM,1603034491,6.38,10.07,73.76,88,77,3.47
Lively,CA,1603034494,46.43,-81.15,50.0,93,90,17.22
Lleida,ES,1603034497,41.62,0.62,69.01,42,45,3.36
Brønnøysund,NO,1603034500,65.46,12.2,41.0,59,40,11.41
Bengkulu,ID,1603034381,-3.8,102.27,76.8,86,84,3.56
Muravlenko,RU,1603034506,63.79,74.52,26.08,96,96,21.65
Half Moon Bay,US,1603034313,37.46,-122.43,63.0,63,5,6.08
Maningrida,AU,1603034512,-12.07,134.27,78.84,78,42,4.14
Yuli,NG,1603034515,9.7,10.27,93.61,38,52,6.87
Villa del Rosario,CO,1603034519,7.83,-72.47,93.2,36,20,21.92
Khasan,RU,1603034522,42.43,130.64,48.42,53,0,9.46
Racine,US,1603034525,42.75,-88.08,39.99,93,1,4.7
Stilfontein,ZA,1603034528,-26.84,26.77,91.98,12,90,9.24
Kaeo,NZ,1603034531,-35.1,173.78,52.0,93,30,4.97
Grindavik,IS,1603034534,63.84,-22.43,44.6,87,75,13.87
Salinópolis,BR,1603034538,-0.61,-47.36,85.53,64,72,11.54
Metro,ID,1603034541,-5.11,105.31,77.47,86,23,5.53
Horasan,TR,1603034544,40.05,42.17,59.32,31,0,3.44
Obzor,BG,1603034547,42.82,27.88,62.6,51,49,10.29
Houston,US,1603034542,29.76,-95.36,81.0,74,20,12.75
Gönen,TR,1603034553,40.1,27.65,66.99,72,75,21.92
Saint-Honoré,CA,1603034556,48.53,-71.08,42.8,81,90,14.99
Nizhniy Tsasuchey,RU,1603034559,50.52,115.13,37.62,78,1,7.36
Banjarmasin,ID,1603034562,-3.32,114.59,77.0,100,20,2.24
Lovozero,RU,1603034566,68.0,35.01,28.44,94,100,10.92
Awjilah,LY,1603034569,29.11,21.29,96.55,13,0,5.39
Lubango,AO,1603034572,-14.92,13.49,87.8,26,75,13.87
Haines Junction,CA,1603034575,60.75,-137.51,17.89,82,66,1.03
Tupik,RU,1603034578,54.43,119.93,19.72,95,52,1.05
Ağdam,AZ,1603034581,39.99,46.93,66.94,54,0,1.97
Ramsar,IR,1603034584,36.92,50.64,66.2,82,0,2.24
Alenquer,BR,1603034587,-1.94,-54.74,89.6,59,20,9.17
Tezu,IN,1603034590,27.92,96.17,75.52,72,2,4.07
Thurso,GB,1603034593,58.59,-3.53,46.4,70,100,4.7
Necochea,AR,1603034596,-38.55,-58.74,75.29,70,51,9.51
Monywa,MM,1603034600,22.12,95.13,81.5,77,100,2.44
Mahajanga,MG,1603034603,-15.72,46.32,82.4,65,40,11.41
Santa,PH,1603034606,17.49,120.43,77.81,81,22,4.34
Laredo,US,1603034609,27.51,-99.51,77.0,78,90,9.17
Angostura,MX,1603034612,25.37,-108.18,84.0,82,0,1.99
Mackay,AU,1603034615,-21.15,149.2,63.0,88,40,5.82
Tuatapere,NZ,1603034618,-46.13,167.68,48.0,86,100,1.66
Alegrete,BR,1603034573,-29.78,-55.79,82.71,51,0,5.23
Porto Velho,BR,1603034392,-8.76,-63.9,87.8,62,92,2.24
Itārsi,IN,1603034628,22.62,77.75,81.77,68,82,4.94
Topaowan,CN,1603034631,30.67,112.69,55.0,81,25,5.08
Norman Wells,CA,1603034634,65.28,-126.83,6.8,92,20,5.82
Sitka,US,1603034637,57.05,-135.33,42.8,71,90,8.05
Guarujá,BR,1603034640,-23.99,-46.26,75.99,53,54,5.82
Sisimiut,GL,1603034643,66.94,-53.67,42.3,64,100,18.79
Bontang,ID,1603034646,0.13,117.5,80.89,83,100,8.34
Havre-St-Pierre,CA,1603034649,50.23,-63.6,44.6,75,1,17.22
Piney Green,US,1603034653,34.72,-77.32,70.0,63,1,6.93
Mbarara,UG,1603034656,-0.61,30.65,69.33,85,88,4.34
Bosaso,SO,1603034659,11.28,49.18,86.0,74,0,11.41
Chabahar,IR,1603034662,25.29,60.64,77.0,44,20,9.17
Nemuro,JP,1603034665,43.32,145.57,56.07,82,0,16.04
Ubari,LY,1603034668,26.59,12.78,96.82,10,99,10.6
Tabas,IR,1603034671,33.6,56.92,71.6,8,0,4.7
Fort Nelson,CA,1603034674,58.81,-122.7,5.0,92,5,2.24
Southbridge,US,1603034397,42.08,-72.03,55.99,51,46,5.01
Mikhaylovka,RU,1603034681,50.06,43.24,66.0,67,56,1.01
Dorog,HU,1603034684,47.72,18.74,52.0,72,57,1.99
Mattru,SL,1603034687,7.62,-11.83,85.53,74,85,3.8
Bilibino,RU,1603034690,68.05,166.44,14.88,93,99,2.48
Saint-Paul,RE,1603034693,-21.01,55.27,73.4,73,64,10.29
Šalčininkai,LT,1603034696,54.3,25.38,39.99,93,75,10.29
Ukiah,US,1603034700,39.15,-123.21,63.0,66,1,1.83
Ulundi,ZA,1603034703,-28.34,31.42,86.81,43,1,8.84
Whittlesea,ZA,1603034706,-32.18,26.82,69.06,47,61,13.38
La Asuncion,VE,1603034709,11.03,-63.86,87.8,62,1,11.41
Hua Hin,TH,1603034712,12.57,99.96,73.42,92,100,7.63
Port-Gentil,GA,1603034715,-0.72,8.78,80.6,88,40,11.41
Kaura Namoda,NG,1603034718,12.59,6.58,98.15,19,0,8.19
Willowmore,ZA,1603034721,-33.29,23.49,72.84,31,91,6.29
Bongandanga,CD,1603034724,1.5,21.05,84.49,65,100,2.51
Margate,GB,1603034728,51.38,1.39,55.0,70,78,1.01
Hegang,CN,1603034731,47.4,130.37,31.24,85,0,4.43
Marzuq,YE,1603034734,14.4,46.47,77.54,17,0,11.12
Camopi,GF,1603034737,3.17,-52.32,94.14,40,86,4.59
La Rioja,ES,1603034740,42.25,-2.5,68.0,40,100,8.05
Srednekolymsk,RU,1603034743,67.45,153.68,23.05,98,89,4.83
Helena,US,1603034540,46.59,-112.04,24.01,79,90,4.7
Solnechnyy,RU,1603034749,50.72,136.63,28.74,76,100,11.54
Härnösand,SE,1603034752,62.63,17.94,37.99,47,100,18.34
St. George's,GD,1603034635,12.06,-61.75,87.8,70,20,16.11
Włocławek,PL,1603034758,52.65,19.07,48.0,85,100,1.99
Glenwood Springs,US,1603034761,39.55,-107.32,51.01,43,1,8.05
Kathmandu,NP,1603034494,27.72,85.32,69.8,83,20,4.7
Kingaroy,AU,1603034768,-26.53,151.83,59.0,82,75,4.7
Bathsheba,BB,1603034771,13.22,-59.52,87.8,70,40,11.41
Ixtapa,MX,1603034706,20.7,-105.2,86.0,70,75,1.36
Bozüyük,TR,1603034777,39.91,30.04,64.4,93,75,4.7
Mossamedes,AO,1603034780,-15.2,12.15,77.0,65,40,12.75
Arlit,NE,1603034783,18.74,7.39,101.35,8,20,4.65
Yelovo,RU,1603034786,57.05,54.92,38.28,77,100,16.53
Nosy Varika,MG,1603034789,-20.58,48.53,72.55,88,35,8.41
Nouadhibou,MR,1603034792,20.93,-17.03,91.4,36,35,10.29
Fairbanks,US,1603034679,64.84,-147.72,19.99,72,75,4.7
Ormara,PK,1603034798,25.21,64.64,85.39,41,37,10.36
Yangi Marg`ilon,UZ,1603034802,40.43,71.72,57.2,44,0,4.7
Aasiaat,GL,1603034805,68.71,-52.87,35.24,85,100,22.48
Gogrial,SS,1603034808,8.53,28.1,85.73,62,2,1.88
Mabaruma,GY,1603034811,8.2,-59.78,91.27,50,100,3.83
Philadelphia,US,1603034791,39.95,-75.16,62.01,58,20,4.7
Bafia,CM,1603034817,4.75,11.23,83.97,74,99,1.01
Xichang,CN,1603034820,27.9,102.26,58.37,68,100,2.89
Taltal,CL,1603034823,-25.4,-70.48,63.19,61,29,5.77
Hambantota,LK,1603034826,6.12,81.12,82.4,74,54,9.17
Rāzole,IN,1603034829,16.48,81.83,78.93,82,45,3.87
Sangar,RU,1603034833,63.92,127.47,15.24,96,99,8.1
Turukhansk,RU,1603034836,65.82,87.98,26.6,98,100,3.04
Timrå,SE,1603034839,62.49,17.33,37.99,47,99,18.34
San Patricio,US,1603034842,28.02,-97.52,82.99,69,20,16.11
Dongsheng,CN,1603034845,39.82,109.98,42.03,54,0,3.49
Bambamarca,PE,1603034587,-6.68,-78.53,66.2,45,75,3.36
Vestmannaeyjar,IS,1603034851,63.44,-20.27,42.8,93,75,6.93
Xai-Xai,MZ,1603034854,-25.05,33.64,82.42,56,0,11.56
Trairi,BR,1603034857,-3.28,-39.27,88.84,43,84,15.48
Lafia,NG,1603034860,8.48,8.52,87.21,64,91,4.88
Departamento de Maldonado,UY,1603034863,-34.67,-54.92,84.2,54,20,10.29
Haimen,CN,1603034866,23.19,116.61,75.2,69,75,8.95
Dzaoudzi,YT,1603034870,-12.79,45.27,80.6,69,0,9.17
Kaseda-shirakame,JP,1603034873,31.42,130.32,59.0,87,1,1.99
Edmonds,US,1603034876,47.81,-122.38,55.0,93,90,5.82
Sioux Lookout,CA,1603034879,50.1,-91.92,30.2,68,90,9.17
Yārāda,IN,1603034882,17.65,83.27,86.0,79,75,6.93
Chittūr,IN,1603034629,10.7,76.75,78.8,78,40,6.93
Harlingen,US,1603034888,26.19,-97.7,82.0,78,1,6.93
Poros,GR,1603034891,37.5,23.45,75.0,53,63,3.44
Gornopravdinsk,RU,1603034894,60.05,69.9,28.29,94,0,8.37
Lodja,CD,1603034897,-3.48,23.43,87.4,53,80,3.38
Sos'va,RU,1603034901,59.18,61.86,31.73,96,100,7.61
Praia,CV,1603034904,14.92,-23.51,86.0,70,10,10.29
Whitehorse,CA,1603034907,60.72,-135.05,10.4,85,40,9.17
Dhārchula,IN,1603034910,29.85,80.53,61.59,47,4,4.12
Karpogory,RU,1603034913,64.0,44.45,32.25,96,100,7.27
Killybegs,IE,1603034916,54.63,-8.45,55.4,87,75,4.7
Vila Franca do Campo,PT,1603034919,37.72,-25.43,64.4,59,40,11.41
Mongu,ZM,1603034922,-15.25,23.13,96.33,9,0,10.4
